StockCode,description,current_price,recommended_price,price_change_gbp,price_change_pct,price_elasticity,num_orders,annual_revenue,total_revenue_lift,pricing_action,implementation_priority
23166,MEDIUM CERAMIC TOP STORAGE JAR,1.46848,1.6887519999999998,0.2202719999999998,14.999999999999986,-0.0561755800471495,247,81700.92000000001,15964.021345157205,Large Increase,Medium Volume
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3.116949227373069,3.5844916114790286,0.46754238410595983,14.999999999999986,-0.0973502624848062,2198,104518.8,15316.520552089547,Large Increase,High Volume
47566,PARTY BUNTING,5.794273153575616,6.663414126611958,0.869140973036342,14.999999999999995,-0.0878299002224414,1685,99504.33,14236.212433158258,Large Increase,High Volume
23084,RABBIT NIGHT LIGHT,2.3805019305019304,2.73757722007722,0.35707528957528956,15.0,-0.056703004073108,994,66964.99,9909.609555169349,Large Increase,High Volume
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3.356833333333334,3.8603583333333336,0.5035249999999998,14.999999999999991,-0.0002974605614297,1160,64952.29,9417.866164512467,Large Increase,High Volume
22423,REGENCY CAKESTAND 3 TIER,13.97692612791274,14.675772434308378,0.6988463063956374,5.000000000000003,-0.1531649081023856,1988,174484.74,8065.183724678527,Small Increase,High Volume
22197,SMALL POPCORN HOLDER,1.042468443197756,1.1988387096774193,0.15637026647966334,14.999999999999995,-0.0843922975411771,1392,51354.02,7907.469111163099,Large Increase,High Volume
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,5.829292351679771,6.703686204431737,0.8743938527519655,14.999999999999996,-0.0893990589600469,1385,38158.39,5868.802039063164,Large Increase,High Volume
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5.018784615384615,5.771602307692307,0.7528176923076915,14.999999999999982,0.1931619428218745,643,33002.590000000004,5177.736706517229,Large Increase,High Volume
22469,HEART OF WICKER SMALL,1.9579445350734093,2.2516362153344205,0.2936916802610112,14.999999999999991,-0.0586364022189932,1201,32107.8,4846.788285244656,Large Increase,High Volume
22727,ALARM CLOCK BAKELIKE RED ,4.389050279329609,5.047407821229051,0.6583575418994414,15.0,-0.0728549920506832,1051,30701.12,4643.828935305131,Large Increase,High Volume
22355,CHARLOTTE BAG SUKI DESIGN,1.21293659621802,1.3948770856507229,0.1819404894327028,14.999999999999982,0.3642622767018329,882,29277.95,4537.533474072841,Large Increase,High Volume
