StockCode,avg_price,price_std,min_price,max_price,avg_quantity,total_quantity_sold,quantity_std,total_revenue,avg_revenue_per_transaction,num_orders,description,price_elasticity,elasticity_category,revenue_per_unit,price_range,price_premium_vs_range,volume_score,price_increase_potential,discount_potential,seasonality_score,price_volatility,orders_per_day,avg_basket_size,revenue_share,pricing_tier,optimal_price_estimate,price_change_pct,projected_revenue_lift
10002,1.086619718309859,0.3677924246169758,0.85,1.66,12.112676056338028,860,22.288080924741976,759.89,10.702676056338028,71,INFLATABLE POLITICAL GLOBE ,-0.3042832880051519,Highly Elastic,0.8835930232558139,Budget,-0.0337786643377362,0.03186162949476559,0.0,0.03186162949476559,0.7970002010213078,0.33538738951714986,0.1903485254691689,13.1618726443166,7.534674427644087e-05,Budget,1.032288732394366,-5.000000000000006,22.796699999999998
10080,0.41090909090909095,0.09807232952358079,0.39,0.85,13.772727272727273,303,11.096682550941233,119.08999999999999,5.413181818181818,22,GROOVY CACTUS INFLATABLE,-0.23696050505618552,Highly Elastic,0.393036303630363,Budget,-0.6346199834552126,0.009558488848429678,0.0,0.009558488848429678,0.7481025792804437,0.23300121485083986,0.058981233243967826,5.659338842975207,1.1808345649872144e-05,Ultra-Budget,0.4191272727272728,2.0000000000000067,3.5726999999999998
10120,0.21,0.0,0.21,0.21,6.433333333333334,193,7.699902969981275,40.53,1.351,29,DOGGY RUBBER,0.0,Inelastic,0.21,Budget,-0.8132681773852968,0.012744651797906235,0.012744651797906235,0.0,0.6198044308136939,0.0,0.0777479892761394,1.351,4.018744220247863e-06,Ultra-Budget,0.231,10.000000000000009,3.2424
10124A,0.42000000000000004,0.0,0.42,0.42,3.2,16,1.3038404810405297,6.72,1.3439999999999999,5,SPOTS ON RED BOOKCOVER TAPE,0.0,Inelastic,0.42,Budget,-0.6265363547705934,0.0018206645425580337,0.0018206645425580337,0.0,0.7238421285362472,0.0,0.013404825737265416,1.3440000000000003,6.663202852224436e-07,Ultra-Budget,0.4620000000000001,10.000000000000007,0.5376
10125,0.8596808510638299,0.2725761297529479,0.42,1.66,13.787234042553191,1296,22.86090353741045,994.84,10.583404255319149,91,MINI FUNKY DESIGN TAPES,-0.2058730596058347,Highly Elastic,0.7676234567901234,Budget,-0.23557251339948473,0.040964952207555756,0.0,0.040964952207555756,0.41420426112747705,0.3134208709085884,0.24396782841823056,11.852621095518334,9.864316555813926e-05,Ultra-Budget,0.8768744680851065,2.0000000000000053,29.8452
10133,0.6502020202020202,0.2489122724711681,0.42,1.66,14.47979797979798,2867,18.89235055792822,1544.22,7.799090909090909,196,COLOURING PENCILS BROWN TUBE,-0.345325132660891,Highly Elastic,0.5386187652598535,Budget,-0.42184091285673647,0.08875739644970414,0.0,0.08875739644970414,0.8984964144123926,0.37702440291685496,0.5254691689008043,9.414793898581777,0.000153116831971161,Ultra-Budget,0.6176919191919192,-4.9999999999999964,46.3266
10135,1.4110614525139664,0.6393760051625755,0.25,2.51,12.46368715083799,2231,21.564707169755547,2207.39,12.331787709497206,175,COLOURING PENCILS BROWN TUBE,-0.3832884646711441,Highly Elastic,0.9894173016584491,Budget,0.25471465166325474,0.07919890760127446,0.0,0.07919890760127446,0.5865327285325173,0.4499284700401031,0.4691689008042895,17.587028494741112,0.0002188733235710074,Budget,1.340508379888268,-5.000000000000008,66.2217
11001,1.89,0.8545902886199377,0.83,3.36,14.043478260869565,1615,37.06783523282965,2389.44,20.77773913043478,113,ASSTD DESIGN RACING CAR PEN,-0.1835669710439153,Elastic,1.479529411764706,Budget,0.6805864035323292,0.05097860719162494,0.0,0.0,0.5970219267520664,0.4497843624315462,0.30294906166219837,26.542173913043477,0.00023692445570266604,Budget,1.9278,2.000000000000003,71.6832
15030,0.29,0.0,0.29,0.29,11.0,143,15.673757260678329,41.47,3.19,12,FAN BLACK FRAME ,0.0,Inelastic,0.29,Budget,-0.7421322449606479,0.005006827492034593,0.005006827492034593,0.0,1.0419901217222263,0.0,0.032171581769437,3.19,4.111949736335526e-06,Ultra-Budget,0.319,10.000000000000009,3.3176
15034,0.3739855072463768,0.3312981321154278,0.07,0.85,47.76086956521739,6591,152.47350155555097,840.0200000000001,6.087101449275363,138,PAPER POCKET TRAVELING FAN ,-0.23479976016635296,Highly Elastic,0.12744955241996664,Budget,-0.6674524028590464,0.06235776058261265,0.0,0.06235776058261265,0.5101490272624062,0.8627881153411783,0.3699731903485255,17.861873030875866,8.329201874889243e-05,Ultra-Budget,0.38146521739130435,2.0000000000000018,25.2006
